"No.","Time","Source","Destination","Protocol","Length","Info","TX rate","Channel","Frequency","Signal"
"1347","739.632211","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=440/47105, ttl=127 (request in 1346)","48.0","11","2462MHz","-62 dBm"
"1348","740.635970","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=441/47361, ttl=128 (no response found!)","54.0","11","2462MHz","-36 dBm"
"1349","741.637962","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=442/47617, ttl=128 (no response found!)","54.0","11","2462MHz","-36 dBm"
"1350","742.639976","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=443/47873, ttl=128 (reply in 1351)","54.0","11","2462MHz","-37 dBm"
"1351","742.640800","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=443/47873, ttl=127 (request in 1350)","54.0","11","2462MHz","-62 dBm"
"1352","743.641820","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=444/48129, ttl=128 (reply in 1353)","54.0","11","2462MHz","-38 dBm"
"1353","743.642739","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=444/48129, ttl=127 (request in 1352)","54.0","11","2462MHz","-60 dBm"
"1354","743.642945","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=444/48129, ttl=127","54.0","11","2462MHz","-61 dBm"
"1355","744.738586","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=445/48385, ttl=128 (reply in 1356)","54.0","11","2462MHz","-38 dBm"
"1356","744.739507","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=445/48385, ttl=127 (request in 1355)","54.0","11","2462MHz","-62 dBm"
"1357","745.804965","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=446/48641, ttl=128 (reply in 1358)","54.0","11","2462MHz","-36 dBm"
"1358","745.806085","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=446/48641, ttl=127 (request in 1357)","54.0","11","2462MHz","-60 dBm"
"1359","746.820827","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=447/48897, ttl=128 (reply in 1360)","54.0","11","2462MHz","-35 dBm"
"1360","746.821670","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=447/48897, ttl=127 (request in 1359)","54.0","11","2462MHz","-60 dBm"
"1361","747.859365","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=448/49153, ttl=128 (reply in 1362)","54.0","11","2462MHz","-35 dBm"
"1362","747.860529","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=448/49153, ttl=127 (request in 1361)","54.0","11","2462MHz","-60 dBm"
"1363","748.929039","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=449/49409, ttl=128 (reply in 1364)","54.0","11","2462MHz","-36 dBm"
"1364","748.929947","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=449/49409, ttl=127 (request in 1363)","54.0","11","2462MHz","-60 dBm"
"1365","749.931091","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=450/49665, ttl=128 (reply in 1366)","54.0","11","2462MHz","-36 dBm"
"1366","749.932044","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=450/49665, ttl=127 (request in 1365)","54.0","11","2462MHz","-60 dBm"
"1367","750.981984","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=451/49921, ttl=128 (no response found!)","54.0","11","2462MHz","-35 dBm"
"1368","750.982384","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=451/49921, ttl=128 (reply in 1369)","48.0","11","2462MHz","-35 dBm"
"1369","750.983122","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=451/49921, ttl=127 (request in 1368)","54.0","11","2462MHz","-59 dBm"
"1370","752.013718","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=452/50177, ttl=128 (reply in 1371)","54.0","11","2462MHz","-36 dBm"
"1371","752.014545","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=452/50177, ttl=127 (request in 1370)","36.0","11","2462MHz","-60 dBm"
"1372","753.075872","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=453/50433, ttl=128 (reply in 1373)","54.0","11","2462MHz","-35 dBm"
"1373","753.076942","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=453/50433, ttl=127 (request in 1372)","36.0","11","2462MHz","-60 dBm"
"1374","754.081595","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=454/50689, ttl=128 (reply in 1375)","54.0","11","2462MHz","-35 dBm"
"1375","754.082466","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=454/50689, ttl=127 (request in 1374)","36.0","11","2462MHz","-60 dBm"
"1376","755.093189","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=455/50945, ttl=128 (reply in 1377)","54.0","11","2462MHz","-36 dBm"
"1377","755.094144","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=455/50945, ttl=127 (request in 1376)","36.0","11","2462MHz","-61 dBm"
"1378","756.095338","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=456/51201, ttl=128 (reply in 1379)","54.0","11","2462MHz","-37 dBm"
"1379","756.096261","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=456/51201, ttl=127 (request in 1378)","36.0","11","2462MHz","-60 dBm"
"1380","757.097189","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=457/51457, ttl=128 (reply in 1381)","54.0","11","2462MHz","-35 dBm"
"1381","757.098246","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=457/51457, ttl=127 (request in 1380)","36.0","11","2462MHz","-60 dBm"
"1382","758.100345","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=458/51713, ttl=128 (reply in 1383)","54.0","11","2462MHz","-35 dBm"
"1383","758.101052","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=458/51713, ttl=127 (request in 1382)","54.0","11","2462MHz","-61 dBm"
"1384","758.101447","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=458/51713, ttl=127","54.0","11","2462MHz","-62 dBm"
"1385","758.103147","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=458/51713, ttl=127","48.0","11","2462MHz","-60 dBm"
"1386","759.105436","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=459/51969, ttl=128 (no response found!)","54.0","11","2462MHz","-35 dBm"
"1387","759.105674","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=459/51969, ttl=128 (reply in 1388)","48.0","11","2462MHz","-35 dBm"
